feature,kind,is_shadow,overall_mean,overall_std,decision,drop_is_click_mean,drop_is_click_std,drop_is_like_mean,drop_is_like_std,drop_is_follow_mean,drop_is_follow_std,drop_is_comment_mean,drop_is_comment_std
tab,categorical,False,0.06119887292987643,0.00119391386298051,通过,0.0925876333598183,0.0013329156762228271,0.029810112499934555,0.0010549120497381926,0.005325452253328662,0.00035083250009783416,0.028903223868658217,0.0027795732399423603
onehot_feat3,categorical,False,0.03161609731893853,0.0003534003195435712,通过,0.019458077267114942,0.0003448817312159718,0.043774117370762124,0.00036191890787117063,0.00516123985531769,0.003736971898542625,0.0013635528351682025,0.003183696388544084
valid_play_user_num,numeric,False,0.019912652696006228,0.0007373673360706354,通过,0.03561940290646796,0.00064900071100034,0.004205902485544495,0.0008257339611409307,0.0054736002435043325,0.0022678279442836947,0.002687679437293977,0.002259109303087613
valid_play_cnt,numeric,False,0.019017653120665723,0.00028426204821295183,通过,0.03622840918558364,0.00014661076399306858,0.0018068970557478063,0.0004219133324328351,0.004372470461230349,0.0021897366587700887,0.004990862519464863,0.0034820042469238333
onehot_feat8,categorical,False,0.015320558633109754,0.0005239182962590025,通过,0.008204806919401694,0.0002453693056103277,0.02243631034681781,0.0008024672869076775,0.007222763359292246,0.0023495745335114257,0.004875378682061597,0.0014662336839325228
follow_user_num,numeric,False,0.014158050348801946,0.0004899618920438569,通过,0.00207914408724319,0.00025979772068241596,0.0262369566103607,0.0007201260634052979,0.08301841692711039,0.005592398616533457,0.005828920961899353,0.0010046596972664967
short_time_play_user_num,numeric,False,0.013118431658421284,0.0007510814455523609,通过,0.023537567967438333,0.00029233693619811824,0.002699295349404237,0.0012098259549066035,0.008911226709335418,0.005151049764763598,0.007125281999849631,0.0019436843799576532
double_click_cnt,numeric,False,0.012936593916900033,0.0009287113371160489,通过,0.0021095676365811,0.00012939452266981532,0.023763620197218966,0.0017280281515622824,0.0008834483443878419,0.0006996839297643287,0.00368887590231215,0.0021530232961889297
short_time_play_cnt,numeric,False,0.01204349665202405,0.0005112720579907644,通过,0.02015087468010131,0.0006687644982413673,0.00393611862394679,0.0003537796177401616,0.0019538292471090366,0.004886735338394968,0.004882302617014352,0.0006797457626062251
onehot_feat1,categorical,False,0.011044526878825197,0.0004771922758964486,通过,0.005886501908398937,0.0001957733236537619,0.016202551849251456,0.0007586112281391354,0.002343713470677781,0.002274570871292062,0.02028392315219533,0.002036744069784191
follow_user_num_range,categorical,False,0.008114669619851023,0.0002426776511913237,通过,0.0028501271566825728,0.00011164323824921623,0.013379212083019473,0.00037371206413343115,0.02981400071058345,0.0020913326158026008,0.0016109839628306959,0.001115588363836566
play_progress,numeric,False,0.007174996311473614,0.00035587852515087673,通过,0.005770132907259177,0.0003436095073589039,0.008579859715688051,0.00036814754294284957,0.00913296083839569,0.003741214648086444,0.002991485247115825,0.0019472060345937397
like_user_num,numeric,False,0.0065223158227982,0.00030785873448007484,通过,0.0004398373894191436,6.179889773545506e-05,0.012604794256177257,0.0005539185712246946,-0.0002495314785835312,0.000981154473123252,0.003334341748128041,0.0013889719987307545
like_cnt,numeric,False,0.005900378465195108,0.0002483578824760013,通过,0.0007447738792244104,0.00014018531624237043,0.011055983051165804,0.0003565304487096321,0.0002446250390536475,0.0016934039519927785,0.001707305730048699,0.0018386489457210354
play_user_num,numeric,False,0.005762638587163822,0.0008144663532361037,通过,0.005253603765350852,0.00023479396929049218,0.006271673408976793,0.0013941387371817153,0.004471344974878629,0.0010544827251669636,0.006454234001509573,0.0024162916181280614
user_active_degree,categorical,False,0.005644990825814693,0.0003279413908159021,通过,0.0054314733839665825,0.00012596042560953117,0.005858508267662803,0.000529922356022273,0.008962211167261258,0.001011127945321977,0.004083679843347195,0.0001545919389270409
long_time_play_cnt,numeric,False,0.0049454693789805675,0.00019378464416136738,通过,0.00908819533253069,0.00016852419621903077,0.0008027434254304447,0.000219045092103704,0.0003510892013496303,0.0013810297055487915,0.00015834467431996568,0.00014356000379129309
long_time_play_user_num,numeric,False,0.004611452093649789,0.00022324783747932565,通过,0.007711312238403341,0.00015260530725770988,0.0015115919488962366,0.0002938903677009414,0.004468062399568244,0.001010369534950218,0.0016419312534520596,0.0008906209892323556
show_user_num,numeric,False,0.004410098669799763,0.00017471592931744498,通过,0.0022778062655455975,4.351668276418256e-05,0.006542391074053929,0.0003059151758707074,0.006220626570030159,0.0018753303138704554,0.003952210000769433,0.00507816086042392
friend_user_num,numeric,False,0.0038487508612330967,0.0006194717894313678,通过,0.00122164024133035,2.572977655124114e-05,0.006475861481135843,0.0012132138023114945,0.013089401468250625,0.006035122486481431,0.0008433386741047988,0.00048056774427728894
video_duration,numeric,False,0.003325207992944279,0.00017033033922481204,通过,0.003181478903171923,0.0001569253612821842,0.0034689370827166353,0.00018373531716743986,0.001962558388459823,0.002229479206197903,0.0012467272376800453,0.0011535765335912377
click_like_cnt,numeric,False,0.003190154047142235,0.00020007960664310525,通过,0.000642842716095382,3.40151231505837e-05,0.005737465378189088,0.00036614409013562677,0.0011429146660817031,0.0006939344772887698,0.004709592995062906,0.0008969429888536726
friend_user_num_range,categorical,False,0.003176695923391833,0.00034258900285248607,通过,0.0016715321046911387,0.0001791998389550195,0.004681859742092527,0.0005059781667499526,0.00847886763390012,0.0015515632528781656,0.002146665164197481,0.002550669525684222
onehot_feat7,categorical,False,0.003083309030095312,0.000369075840841975,通过,0.002363154313470598,0.00018405362538330376,0.003803463746720026,0.0005540980563006463,0.0011927840241143794,0.0002726495667571996,0.0035150019119044584,0.0006263590035604412
tag,categorical,False,0.0030760209234114155,0.0002097329487234381,通过,0.003931052863956193,0.0001485983916193404,0.0022209889828666376,0.0002708675058275358,0.0018562998227067418,0.0016133019129530748,0.0007239276879859776,0.001406016244513514
reduce_similar_user_num,numeric,False,0.002836803881166916,0.0002346177589886616,通过,0.0014599738367322794,4.9751166286911865e-05,0.0042136339256015525,0.00041948435169041136,0.00016433436206175767,0.000442850015263932,0.001217638784869579,0.00024474238130165995
onehot_feat0,categorical,False,0.0027419499940795995,0.00031634658992157454,通过,0.0029697109744547534,2.9528308543716993e-05,0.002514189013704445,0.0006031648712994321,0.0009777265556641934,0.0021832738676458552,0.009590068855730882,0.0015717570089741892
register_days_range,categorical,False,0.002735874022516923,0.00011571117071731849,通过,0.0010442233197739774,0.00015723667090905983,0.004427524725259868,7.418567052557716e-05,0.005667502176169663,0.001226604990364766,0.0027665696462784903,0.0014849340673690169
cancel_like_user_num,numeric,False,0.002660703538492034,0.0001815218263051663,通过,0.0040004543342947825,8.844210491769656e-05,0.0013209527426892853,0.000274601547692636,0.0006503123189203208,0.0005450352266386993,0.002655216769248995,0.00022006472394882462
fans_user_num_range,categorical,False,0.002612983370523995,0.0005120539937154976,通过,0.0012937805050386626,0.0002095906291811181,0.003932186236009327,0.0008145173582498771,0.0005840544771459344,0.002270459894487194,0.0026143978232071228,0.0016780308510525516
register_days,numeric,False,0.0025674125651158897,0.00024062688736280964,通过,0.0020201570148997336,0.00019639564746878993,0.0031146681153320457,0.00028485812725682934,0.0009573934060504996,0.00046296151203022254,0.0005299707006399812,0.0009800473313889928
play_cnt,numeric,False,0.002206034492252762,0.0003051784994411518,通过,0.0032481665934596857,0.00010416781677681328,0.0011639023910458384,0.0005061891821054904,0.001752417813600952,0.001963084718248649,0.0015323013397945395,0.0009714728641351747
onehot_feat4,categorical,False,0.002188077052575306,0.00019506973448045435,通过,0.0014616235054542015,0.00014521998495904158,0.0029145305996964113,0.00024491948400186714,3.6746026165509114e-05,0.0013504433622042837,0.0007905042759385564,0.001020846405049622
onehot_feat2,categorical,False,0.0021284277548660286,0.0002431421828199449,通过,0.0021517645553262854,0.00024380672306261478,0.0021050909544057714,0.00024247764257727506,0.00305070422635334,0.0019848214444854358,0.00913611990369719,0.006072248229819777
play_duration,numeric,False,0.002024485757789722,0.00017130875599599826,通过,0.0025127022533981322,7.35605449873987e-05,0.0015362692621813112,0.0002690569670045978,0.002457471083212185,0.0033316919618939156,0.002010258550337022,0.001239532054568336
collect_user_num,numeric,False,0.0019762558680356994,0.0002174395757263044,通过,0.001359237151269177,0.00013130050792740534,0.0025932745848022223,0.0003035786435252035,-0.0001369098740653015,0.0005756056528123176,-6.167378527939989e-05,0.000992255518631377
