feature,kind,is_shadow,overall_mean,overall_std,decision,drop_is_click_mean,drop_is_click_std,drop_is_like_mean,drop_is_like_std,drop_is_follow_mean,drop_is_follow_std,drop_is_comment_mean,drop_is_comment_std
tab,categorical,False,0.06315023192260917,0.0015105166812529574,通过,0.09400300855907924,0.0016753795237579802,0.03229745528613911,0.0013456538387479346,0.0032542273802840618,0.0034086775811281358,0.039347390012057226,0.0037701598352922337
onehot_feat3,categorical,False,0.034752327275287175,0.0009719624740717712,通过,0.0208939739322996,0.0007084412606283844,0.04861068061827475,0.001235483687515158,0.0061541004073438765,0.007467007576903988,0.005446794860878475,0.006332976970623935
valid_play_cnt,numeric,False,0.025230481492673002,0.00037699382956333816,通过,0.04007082143097063,0.0001491803207751149,0.01039014155437538,0.0006048073383515615,0.007601730057969935,0.0045603921814548155,0.00563159353360861,0.000854330083624273
valid_play_user_num,numeric,False,0.022897949919693017,0.0011415554061647458,通过,0.03779568216470134,0.000669775152943173,0.008000217674684692,0.0016133356593863186,0.00796810658191686,0.003353095874033431,0.002236219629496383,0.00392977246409107
onehot_feat8,categorical,False,0.01745460960750661,0.0005820465838100926,通过,0.010801287451585187,0.0006220047952671107,0.02410793176342803,0.0005420883723530744,0.0013251080498692576,0.00025857486305623723,0.005165170553219152,0.0020655496282409717
follow_user_num,numeric,False,0.014756258739987427,0.0004199731699808012,通过,0.0030955461964261946,0.00021106460843865318,0.026416971283548658,0.0006288817315229493,0.10004892291699845,0.005956825002527485,0.010100971843434467,0.0014105223555482649
short_time_play_user_num,numeric,False,0.014415657647970573,0.0007036438519132528,通过,0.021571206715943703,0.0002745554817221708,0.0072601085799974445,0.001132732222104335,0.006570680819291537,0.002272533868310571,0.014989098189874706,0.0015186175110778867
short_time_play_cnt,numeric,False,0.01315761319923377,0.001128544783002772,通过,0.019558063919776953,0.0007799752706149365,0.006757162478690589,0.0014771142953906074,0.004522120351574584,0.004781505424810931,0.012558547918325077,0.0029854405715319535
double_click_cnt,numeric,False,0.0116246203730516,0.0007162803921196514,通过,0.0009407342523273243,0.00019397681499738707,0.022308506493775877,0.0012385839692419158,0.0003470713570472202,0.0009662071186101822,0.006212211431376217,0.0011136487236533365
like_cnt,numeric,False,0.010516273452743771,0.00020749814545073856,通过,0.000723523286059217,9.772681839816897e-05,0.020309023619428324,0.00031726947250330814,0.005254904761652875,0.0018418023339472236,0.00431580245088492,0.001487878542464313
